Ticker Pair,Industry,Correlation,Avg P-Value,Tests Run,,LBTYA/LBTYB,Telecom Services,0.9916,0.00086,624,,Telecom Services
LBTYA/LBTYB,Telecom Services,0.9916,0.00086,624,,KELYA/KELYB,Staffing & Employment Services,0.9449,0.00137,624,,Staffing & Employment Services
KELYA/KELYB,Staffing & Employment Services,0.9449,0.00137,624,,WLY/WLYB,Publishing,0.9956,0.00491,624,,Publishing
WLY/WLYB,Publishing,0.9956,0.00491,624,,LBTYB/LBTYK,Telecom Services,0.9873,0.00726,624,,Asset Management
LBTYB/LBTYK,Telecom Services,0.9873,0.00726,624,,BYM/MQT,Asset Management,0.9965,0.00797,624,,Banks - Regional
BYM/MQT,Asset Management,0.9965,0.00797,624,,AFB/BYM,Asset Management,0.9939,0.00808,624,,0
AFB/BYM,Asset Management,0.9939,0.00808,624,,IQI/VKQ,Asset Management,0.9962,0.01447,624,,
IQI/VKQ,Asset Management,0.9962,0.01447,624,,NCA/NXC,Asset Management,0.9877,0.0148,624,,
NCA/NXC,Asset Management,0.9877,0.0148,624,,EFR/EFT,Asset Management,0.9973,0.01706,624,,
EFR/EFT,Asset Management,0.9973,0.01706,624,,BYM/MUC,Asset Management,0.9852,0.01847,624,,
BYM/MUC,Asset Management,0.9852,0.01847,624,,IGI/VBF,Asset Management,0.9727,0.02278,624,,
IGI/VBF,Asset Management,0.9727,0.02278,624,,AFB/MYN,Asset Management,0.9932,0.0243,624,,
AFB/MYN,Asset Management,0.9932,0.0243,624,,MHF/VCV,Asset Management,0.9691,0.02522,624,,
MHF/VCV,Asset Management,0.9691,0.02522,624,,NUW/VCV,Asset Management,0.9786,0.02804,624,,
NUW/VCV,Asset Management,0.9786,0.02804,624,,MYD/NXN,Asset Management,0.9643,0.0288,624,,
MYD/NXN,Asset Management,0.9643,0.0288,624,,MVF/MVT,Asset Management,0.9903,0.02979,624,,
MVF/MVT,Asset Management,0.9903,0.02979,624,,MYN/NAN,Asset Management,0.985,0.02985,624,,
MYN/NAN,Asset Management,0.985,0.02985,624,,MHD/MYD,Asset Management,0.9935,0.03381,624,,
MHD/MYD,Asset Management,0.9935,0.03381,624,,AFB/BFK,Asset Management,0.9844,0.03383,624,,
AFB/BFK,Asset Management,0.9844,0.03383,624,,FULT/MGYR,Banks - Regional,0.9553,0.03426,624,,
FULT/MGYR,Banks - Regional,0.9553,0.03426,624,,BFK/MYN,Asset Management,0.9865,0.03694,624,,
BFK/MYN,Asset Management,0.9865,0.03694,624,,MMU/NUW,Asset Management,0.9821,0.03855,624,,
MMU/NUW,Asset Management,0.9821,0.03855,624,,PAI/VBF,Asset Management,0.9789,0.03879,624,,
PAI/VBF,Asset Management,0.9789,0.03879,624,,MPA/MUJ,Asset Management,0.9914,0.03936,624,,
MPA/MUJ,Asset Management,0.9914,0.03936,624,,CATY/MGYR,Banks - Regional,0.9722,0.03956,624,,
CATY/MGYR,Banks - Regional,0.9722,0.03956,624,,AFB/VMO,Asset Management,0.9919,0.04037,624,,
AFB/VMO,Asset Management,0.9919,0.04037,624,,AFB/NAD,Asset Management,0.9884,0.04137,624,,
AFB/NAD,Asset Management,0.9884,0.04137,624,,AFB/MQT,Asset Management,0.9937,0.0431,624,,
AFB/MQT,Asset Management,0.9937,0.0431,624,,VGM/VKQ,Asset Management,0.9974,0.04365,624,,
VGM/VKQ,Asset Management,0.9974,0.04365,624,,AFB/MHN,Asset Management,0.9916,0.04402,624,,
AFB/MHN,Asset Management,0.9916,0.04402,624,,NMI/NXN,Asset Management,0.9702,0.04738,624,,
NMI/NXN,Asset Management,0.9702,0.04738,624,,BFK/MHN,Asset Management,0.9882,0.04749,624,,
BFK/MHN,Asset Management,0.9882,0.04749,624,,BYM/NMT,Asset Management,0.9664,0.04838,624,,
BYM/NMT,Asset Management,0.9664,0.04838,624,,CAC/LSBK,Banks - Regional,0.9103,0.04857,624,,
CAC/LSBK,Banks - Regional,0.9103,0.04857,624,,AFB/FMN,Asset Management,0.9891,0.0489,624,,
AFB/FMN,Asset Management,0.9891,0.0489,624,,BFK/MQT,Asset Management,0.9792,0.04918,624,,
BFK/MQT,Asset Management,0.9792,0.04918,624,,BOTJ/DCOM,Banks - Regional,0.9324,0.04944,624,,
BOTJ/DCOM,Banks - Regional,0.9324,0.04944,624,,,,,,,,
IPB/KTH,Unknown,0.9892,0.05019,624,,,,,,,,
BOTJ/FISI,Banks - Regional,0.9509,0.05066,624,,,,,,,,
IGI/NNY,Asset Management,0.9756,0.05118,624,,,,,,,,
CZNC/HFBL,Banks - Regional,0.96,0.05168,624,,,,,,,,
MMT/WEA,Asset Management,0.9829,0.05228,624,,,,,,,,
IGI/PAI,Asset Management,0.9825,0.05254,624,,,,,,,,
CMU/NXN,Asset Management,0.9518,0.05288,624,,,,,,,,
ASB/MGYR,Banks - Regional,0.9478,0.05339,624,,,,,,,,
MVT/NUW,Asset Management,0.9568,0.05392,624,,,,,,,,
SENEA/SENEB,Packaged Foods,0.986,0.05404,624,,,,,,,,
BTA/NXN,Asset Management,0.9767,0.0548,624,,,,,,,,
BYM/NAD,Asset Management,0.9913,0.05536,624,,,,,,,,
BYM/MIY,Asset Management,0.9894,0.0555,624,,,,,,,,
MMU/MUA,Asset Management,0.9777,0.05669,624,,,,,,,,
BOTJ/SNV,Banks - Regional,0.9438,0.05685,624,,,,,,,,
AFB/VKQ,Asset Management,0.9921,0.05699,624,,,,,,,,
NXN/VKQ,Asset Management,0.9713,0.0577,624,,,,,,,,
BHK/VBF,Asset Management,0.9905,0.05791,624,,,,,,,,
BOTJ/LSBK,Banks - Regional,0.9316,0.05801,624,,,,,,,,
NIM/VCV,Asset Management,0.9692,0.05853,624,,,,,,,,
MHF/NQP,Asset Management,0.9762,0.0587,624,,,,,,,,
AFB/NAN,Asset Management,0.988,0.05972,624,,,,,,,,
CXE/EOT,Asset Management,0.9783,0.06004,624,,,,,,,,
MYD/NAN,Asset Management,0.9817,0.06013,624,,,,,,,,
NXN/NXP,Asset Management,0.9641,0.06025,624,,,,,,,,
MUC/NMT,Asset Management,0.9655,0.06157,624,,,,,,,,
FFC/FLC,Asset Management,0.9973,0.06246,624,,,,,,,,
LSBK/WAL,Banks - Regional,0.8556,0.06288,624,,,,,,,,
BKN/NAD,Asset Management,0.9801,0.06332,624,,,,,,,,
AFB/NRK,Asset Management,0.9867,0.06355,624,,,,,,,,
NRK/VKQ,Asset Management,0.993,0.06377,624,,,,,,,,
EBTC/FCCO,Banks - Regional,0.9679,0.06402,624,,,,,,,,
MHN/MYI,Asset Management,0.9801,0.06416,624,,,,,,,,
NAN/NXN,Asset Management,0.9782,0.06423,624,,,,,,,,
BYM/VKQ,Asset Management,0.9907,0.06434,624,,,,,,,,
EBTC/LSBK,Banks - Regional,0.9258,0.06523,624,,,,,,,,
ATLO/CIVB,Banks - Regional,0.8973,0.06536,624,,,,,,,,
CAC/CIVB,Banks - Regional,0.9768,0.06558,624,,,,,,,,
NIM/NXN,Asset Management,0.9784,0.06601,624,,,,,,,,
MUE/NMT,Asset Management,0.9701,0.0663,624,,,,,,,,
BFK/BYM,Asset Management,0.976,0.06667,624,,,,,,,,
BTA/NZF,Asset Management,0.9889,0.06668,624,,,,,,,,
CATY/PBHC,Banks - Regional,0.9533,0.06676,624,,,,,,,,
BYM/NAN,Asset Management,0.9862,0.06731,624,,,,,,,,
EOT/PMM,Asset Management,0.9675,0.06736,624,,,,,,,,
BYM/VGM,Asset Management,0.9915,0.06757,624,,,,,,,,
