Ticker Pair,Industry,Correlation,Avg P-Value,Tests Run
DCO/RTX,Aerospace & Defense,0.9077,0.25035,624
DCO/KTOS,Aerospace & Defense,0.8454,0.25098,624
DCO/HEI,Aerospace & Defense,0.9326,0.27548,624
CAE/WWD,Aerospace & Defense,0.8132,0.27765,624
DCO/WWD,Aerospace & Defense,0.9299,0.31061,624
CAE/DCO,Aerospace & Defense,0.8603,0.31082,624
BA/HXL,Aerospace & Defense,0.8558,0.32007,624
TATT/VSEC,Aerospace & Defense,0.85,0.32222,624
ESLT/NOC,Aerospace & Defense,0.9272,0.32709,624
RGR/SWBI,Aerospace & Defense,0.8156,0.33257,624
CODA/WWD,Aerospace & Defense,0.8002,0.3334,624
DCO/TDG,Aerospace & Defense,0.8796,0.33592,624
CAE/LHX,Aerospace & Defense,0.8872,0.3479,624
CODA/MRCY,Aerospace & Defense,0.8003,0.35455,624
DCO/ESLT,Aerospace & Defense,0.8494,0.36758,624
ESLT/LMT,Aerospace & Defense,0.9122,0.38082,624
LMT/NOC,Aerospace & Defense,0.9893,0.38408,624
HXL/LHX,Aerospace & Defense,0.8065,0.3876,624
RTX/VSEC,Aerospace & Defense,0.8997,0.39071,624
CODA/LHX,Aerospace & Defense,0.8597,0.39173,624
CODA/DCO,Aerospace & Defense,0.8325,0.39276,624
DCO/LHX,Aerospace & Defense,0.9192,0.3928,624
CAE/LMT,Aerospace & Defense,0.8007,0.39604,624
CAE/CODA,Aerospace & Defense,0.8752,0.40331,624
LHX/NOC,Aerospace & Defense,0.9657,0.40708,624
ESLT/LHX,Aerospace & Defense,0.8871,0.41056,624
HEI/VSEC,Aerospace & Defense,0.8635,0.41063,624
AVAV/TDG,Aerospace & Defense,0.9438,0.41077,624
CAE/MRCY,Aerospace & Defense,0.8143,0.41143,624
DCO/LMT,Aerospace & Defense,0.9005,0.41548,624
AVAV/DRS,Aerospace & Defense,0.8782,0.41552,624
CW/HEI,Aerospace & Defense,0.9413,0.41567,624
DCO/GD,Aerospace & Defense,0.8724,0.41742,624
DRS/TDG,Aerospace & Defense,0.923,0.41748,624
AIR/CW,Aerospace & Defense,0.908,0.41886,624
KTOS/WWD,Aerospace & Defense,0.8277,0.42139,624
TXT/VSEC,Aerospace & Defense,0.8482,0.4224,624
AIR/HEI,Aerospace & Defense,0.8784,0.42694,624
AIR/HXL,Aerospace & Defense,0.8098,0.42721,624
DCO/TXT,Aerospace & Defense,0.8587,0.43071,624
