Ticker Pair,Industry,Correlation,Avg P-Value,Tests Run
JBLU/LUV,Airlines,0.8215,0.28824,624
DAL/UAL,Airlines,0.916,0.3803,624
AAL/JBLU,Airlines,0.8469,0.41013,624
ALK/JBLU,Airlines,0.8561,0.41418,624
ALK/LUV,Airlines,0.8957,0.43169,624
ALGT/JBLU,Airlines,0.8448,0.4337,624
DAL/RYAAY,Airlines,0.8189,0.45493,624
DAL/LUV,Airlines,0.8713,0.4692,624
ALK/DAL,Airlines,0.8692,0.48821,624
ALGT/ALK,Airlines,0.8052,0.49488,624
ALGT/LUV,Airlines,0.8186,0.53611,624
ALK/UAL,Airlines,0.8333,0.55708,624
