Ticker Pair,Industry,Correlation,Avg P-Value,Tests Run
PAG/RUSHB,Auto & Truck Dealerships,0.9769,0.28483,624
AN/PAG,Auto & Truck Dealerships,0.9815,0.3062,624
AN/GPI,Auto & Truck Dealerships,0.9651,0.30773,624
ABG/GPI,Auto & Truck Dealerships,0.9302,0.31862,624
AN/RUSHB,Auto & Truck Dealerships,0.9538,0.33472,624
ABG/AN,Auto & Truck Dealerships,0.9592,0.33792,624
AN/RUSHA,Auto & Truck Dealerships,0.9522,0.34699,624
GPI/RUSHA,Auto & Truck Dealerships,0.967,0.36114,624
GPI/RUSHB,Auto & Truck Dealerships,0.9595,0.37047,624
PAG/RUSHA,Auto & Truck Dealerships,0.9645,0.40854,624
KMX/LAD,Auto & Truck Dealerships,0.8224,0.42076,624
RUSHA/RUSHB,Auto & Truck Dealerships,0.9909,0.42159,624
CRMT/KMX,Auto & Truck Dealerships,0.8661,0.42967,624
GPI/SAH,Auto & Truck Dealerships,0.9382,0.42972,624
ABG/RUSHA,Auto & Truck Dealerships,0.9563,0.4395,624
GPI/PAG,Auto & Truck Dealerships,0.9577,0.44771,624
RUSHA/SAH,Auto & Truck Dealerships,0.951,0.46131,624
ABG/RUSHB,Auto & Truck Dealerships,0.9571,0.4687,624
ABG/LAD,Auto & Truck Dealerships,0.9487,0.47525,624
ABG/PAG,Auto & Truck Dealerships,0.9622,0.48254,624
AN/SAH,Auto & Truck Dealerships,0.949,0.49142,624
GPI/LAD,Auto & Truck Dealerships,0.8379,0.49705,624
LAD/RUSHA,Auto & Truck Dealerships,0.8961,0.49959,624
AN/LAD,Auto & Truck Dealerships,0.8662,0.50734,624
ABG/SAH,Auto & Truck Dealerships,0.9715,0.51277,624
RUSHB/SAH,Auto & Truck Dealerships,0.9418,0.51485,624
LAD/SAH,Auto & Truck Dealerships,0.9378,0.51699,624
LAD/RUSHB,Auto & Truck Dealerships,0.8844,0.5227,624
PAG/SAH,Auto & Truck Dealerships,0.9368,0.56144,624
LAD/PAG,Auto & Truck Dealerships,0.8587,0.59954,624
