Ticker Pair,Industry,Correlation,Avg P-Value,Tests Run
BMO/TD,Banks - Diversified,0.9785,0.18171,624
MUFG/UBS,Banks - Diversified,0.9214,0.25903,624
BMO/CM,Banks - Diversified,0.9593,0.31381,624
BMO/RY,Banks - Diversified,0.9718,0.31768,624
RY/TD,Banks - Diversified,0.9514,0.355,624
BAC/CM,Banks - Diversified,0.9448,0.36212,624
BK/JPM,Banks - Diversified,0.9424,0.36252,624
BAC/RY,Banks - Diversified,0.9566,0.37045,624
BBVA/MUFG,Banks - Diversified,0.8918,0.37103,624
BK/WFC,Banks - Diversified,0.9209,0.37232,624
SMFG/UBS,Banks - Diversified,0.8559,0.37368,624
BMO/BNS,Banks - Diversified,0.9424,0.39684,624
ING/MUFG,Banks - Diversified,0.8746,0.40827,624
BK/BNS,Banks - Diversified,0.8032,0.422,624
BBVA/SMFG,Banks - Diversified,0.8777,0.42472,624
CM/RY,Banks - Diversified,0.9769,0.42712,624
BAC/BK,Banks - Diversified,0.9018,0.42759,624
BK/RY,Banks - Diversified,0.9063,0.43305,624
BK/ING,Banks - Diversified,0.9079,0.43381,624
CM/TD,Banks - Diversified,0.9229,0.44227,624
HSBC/SMFG,Banks - Diversified,0.8966,0.44482,624
BAC/TD,Banks - Diversified,0.9432,0.44718,624
BAC/BMO,Banks - Diversified,0.9449,0.45804,624
ING/SMFG,Banks - Diversified,0.8041,0.46086,624
C/WFC,Banks - Diversified,0.8323,0.46447,624
BBVA/UBS,Banks - Diversified,0.852,0.46641,624
BAC/BNS,Banks - Diversified,0.9069,0.46764,624
BK/BMO,Banks - Diversified,0.8553,0.46919,624
BNS/TD,Banks - Diversified,0.9428,0.47069,624
BK/CM,Banks - Diversified,0.9151,0.47873,624
BAC/JPM,Banks - Diversified,0.9408,0.48534,624
BNS/CM,Banks - Diversified,0.9216,0.49005,624
JPM/RY,Banks - Diversified,0.9658,0.49393,624
BMO/JPM,Banks - Diversified,0.9095,0.49836,624
HSBC/MUFG,Banks - Diversified,0.9053,0.50155,624
BK/TD,Banks - Diversified,0.8199,0.50767,624
BK/C,Banks - Diversified,0.8859,0.50844,624
BNS/RY,Banks - Diversified,0.9014,0.50871,624
ING/JPM,Banks - Diversified,0.8465,0.5096,624
CM/WFC,Banks - Diversified,0.8001,0.52336,624
MUFG/SMFG,Banks - Diversified,0.9571,0.53056,624
C/CM,Banks - Diversified,0.8046,0.53178,624
CM/JPM,Banks - Diversified,0.9463,0.53468,624
BNS/JPM,Banks - Diversified,0.8158,0.54592,624
ING/WFC,Banks - Diversified,0.8805,0.55491,624
BNS/C,Banks - Diversified,0.8023,0.56564,624
C/JPM,Banks - Diversified,0.8258,0.56871,624
BAC/C,Banks - Diversified,0.8721,0.57605,624
JPM/TD,Banks - Diversified,0.8809,0.5889,624
ING/UBS,Banks - Diversified,0.8741,0.59623,624
BBVA/HSBC,Banks - Diversified,0.8485,0.60028,624
HSBC/UBS,Banks - Diversified,0.812,0.61007,624
CM/ING,Banks - Diversified,0.8041,0.62061,624
JPM/WFC,Banks - Diversified,0.8055,0.6398,624
ING/RY,Banks - Diversified,0.8115,0.64406,624
JPM/UBS,Banks - Diversified,0.8282,0.6679,624
HSBC/ING,Banks - Diversified,0.8515,0.6862,624
