Ticker Pair,Industry,Correlation,Avg P-Value,Tests Run
FULT/MGYR,Banks - Regional,0.9553,0.03426,624
CATY/MGYR,Banks - Regional,0.9722,0.03956,624
CAC/LSBK,Banks - Regional,0.9103,0.04857,624
BOTJ/DCOM,Banks - Regional,0.9324,0.04944,624
BOTJ/FISI,Banks - Regional,0.9509,0.05066,624
CZNC/HFBL,Banks - Regional,0.96,0.05168,624
ASB/MGYR,Banks - Regional,0.9478,0.05339,624
BOTJ/SNV,Banks - Regional,0.9438,0.05685,624
BOTJ/LSBK,Banks - Regional,0.9316,0.05801,624
LSBK/WAL,Banks - Regional,0.8556,0.06288,624
EBTC/FCCO,Banks - Regional,0.9679,0.06402,624
EBTC/LSBK,Banks - Regional,0.9258,0.06523,624
ATLO/CIVB,Banks - Regional,0.8973,0.06536,624
CAC/CIVB,Banks - Regional,0.9768,0.06558,624
CATY/PBHC,Banks - Regional,0.9533,0.06676,624
LSBK/WTBA,Banks - Regional,0.9291,0.06866,624
CATY/LSBK,Banks - Regional,0.8914,0.07029,624
CBFV/HBCP,Banks - Regional,0.9591,0.07149,624
LSBK/WASH,Banks - Regional,0.9239,0.07158,624
HBAN/LSBK,Banks - Regional,0.8971,0.07292,624
CAC/FNWD,Banks - Regional,0.9051,0.07346,624
BRKL/LSBK,Banks - Regional,0.8931,0.07634,624
FISI/LSBK,Banks - Regional,0.9362,0.07642,624
BOTJ/CBAN,Banks - Regional,0.9617,0.07757,624
FFBC/LSBK,Banks - Regional,0.8702,0.07781,624
FFBC/IBCP,Banks - Regional,0.9399,0.07824,624
DCOM/LSBK,Banks - Regional,0.8923,0.07865,624
BCAL/OSBC,Banks - Regional,0.9381,0.07932,624
ATLO/BOH,Banks - Regional,0.9084,0.08168,624
CATY/SFBC,Banks - Regional,0.97,0.08171,624
ASB/BOTJ,Banks - Regional,0.9275,0.08292,624
CADE/IBCP,Banks - Regional,0.9676,0.08364,624
BOTJ/CAC,Banks - Regional,0.9457,0.08398,624
BOTJ/UVSP,Banks - Regional,0.9487,0.08467,624
FNLC/SFBC,Banks - Regional,0.9639,0.08566,624
DCOM/FISI,Banks - Regional,0.9635,0.0859,624
LSBK/SNV,Banks - Regional,0.8928,0.08726,624
BRKL/SBFG,Banks - Regional,0.8902,0.08848,624
RBCAA/SFBC,Banks - Regional,0.9573,0.08861,624
FNB/MGYR,Banks - Regional,0.9152,0.08888,624
FCCO/HBCP,Banks - Regional,0.9775,0.08888,624
ASB/CZWI,Banks - Regional,0.9624,0.08889,624
FFBC/MGYR,Banks - Regional,0.9336,0.08898,624
MGYR/SMBK,Banks - Regional,0.9656,0.08918,624
LSBK/WBS,Banks - Regional,0.9187,0.08922,624
BUSE/LSBK,Banks - Regional,0.9177,0.0894,624
BOH/LSBK,Banks - Regional,0.9346,0.08972,624
DCOM/SHBI,Banks - Regional,0.9138,0.0906,624
FNLC/FSFG,Banks - Regional,0.952,0.09092,624
FNLC/HFBL,Banks - Regional,0.9316,0.09169,624
FRME/LSBK,Banks - Regional,0.9432,0.0923,624
HBNC/SBFG,Banks - Regional,0.9495,0.09238,624
HBNC/LSBK,Banks - Regional,0.9518,0.09277,624
LSBK/SBCF,Banks - Regional,0.8948,0.09372,624
