Ticker Pair,Industry,Correlation,Avg P-Value,Tests Run
IBIO/VXRT,Biotechnology,0.8129,0.10284,624
CAPR/TENX,Biotechnology,0.9379,0.1102,624
ERNA/PALI,Biotechnology,0.9077,0.11802,624
CAPR/ORKA,Biotechnology,0.8442,0.15378,624
ERNA/IRD,Biotechnology,0.8499,0.16305,624
CYCC/PSTV,Biotechnology,0.932,0.16381,624
PSTV/VXRT,Biotechnology,0.9062,0.16882,624
CAPR/VXRT,Biotechnology,0.8795,0.16932,624
TENX/VXRT,Biotechnology,0.8728,0.17088,624
ACHV/PSTV,Biotechnology,0.9433,0.17401,624
CYCC/LSTA,Biotechnology,0.9482,0.18304,624
CAPR/CSCI,Biotechnology,0.8501,0.18388,624
ABVC/TENX,Biotechnology,0.865,0.18825,624
ORKA/PSTV,Biotechnology,0.8181,0.19105,624
CGEN/INO,Biotechnology,0.8506,0.19154,624
CYCC/ORKA,Biotechnology,0.9195,0.19161,624
ORKA/VXRT,Biotechnology,0.9473,0.19474,624
LSTA/WINT,Biotechnology,0.8405,0.20132,624
IRD/PALI,Biotechnology,0.8043,0.20207,624
CAPR/PSTV,Biotechnology,0.8585,0.20393,624
SLS/XOMA,Biotechnology,0.8685,0.20407,624
LSTA/PSTV,Biotechnology,0.9203,0.20709,624
CAPR/CYCC,Biotechnology,0.8745,0.2082,624
ACHV/VXRT,Biotechnology,0.8523,0.20839,624
ORKA/TENX,Biotechnology,0.8721,0.21869,624
ABVC/MEIP,Biotechnology,0.8439,0.21976,624
ERNA/SLS,Biotechnology,0.8253,0.21988,624
CAPR/SNGX,Biotechnology,0.817,0.22373,624
IMNN/RIGL,Biotechnology,0.8234,0.23,624
ACHV/CYCC,Biotechnology,0.901,0.23353,624
ORKA/SNGX,Biotechnology,0.8381,0.23724,624
PSTV/SNGX,Biotechnology,0.8385,0.2403,624
GYRE/LSTA,Biotechnology,0.9316,0.24132,624
IBIO/ONCY,Biotechnology,0.844,0.24158,624
CAPR/WINT,Biotechnology,0.8212,0.24595,624
LSTA/ORKA,Biotechnology,0.9111,0.2466,624
MRKR/VXRT,Biotechnology,0.841,0.24841,624
CAPR/MRKR,Biotechnology,0.9234,0.24874,624
WINT/XOMA,Biotechnology,0.8367,0.24908,624
SLS/WINT,Biotechnology,0.8273,0.25071,624
CAPR/GYRE,Biotechnology,0.8843,0.25098,624
MEIP/TENX,Biotechnology,0.8019,0.25337,624
ABVC/WINT,Biotechnology,0.8491,0.2567,624
ERNA/MNKD,Biotechnology,0.8474,0.25682,624
CSCI/ONCY,Biotechnology,0.9059,0.25712,624
CYCC/VXRT,Biotechnology,0.9379,0.25868,624
CYCC/WINT,Biotechnology,0.9111,0.26118,624
MEIP/WINT,Biotechnology,0.9023,0.26144,624
LSTA/SNGX,Biotechnology,0.8994,0.26208,624
CAPR/LSTA,Biotechnology,0.8085,0.26448,624
MRKR/TENX,Biotechnology,0.9412,0.26624,624
ONCY/RIGL,Biotechnology,0.85,0.26827,624
CSCI/MRKR,Biotechnology,0.8059,0.27123,624
ACHV/WINT,Biotechnology,0.85,0.27294,624
CYCC/MEIP,Biotechnology,0.8135,0.27427,624
CPRX/VRTX,Biotechnology,0.9165,0.27435,624
PSTV/WINT,Biotechnology,0.8519,0.27617,624
ABEO/ORKA,Biotechnology,0.9294,0.2776,624
MRKR/RIGL,Biotechnology,0.8174,0.27884,624
IRD/SNGX,Biotechnology,0.8867,0.28467,624
PSTV/TENX,Biotechnology,0.8347,0.28472,624
CSCI/GYRE,Biotechnology,0.8821,0.28551,624
CSCI/SONN,Biotechnology,0.8224,0.28577,624
ABEO/ONCY,Biotechnology,0.8408,0.287,624
ACHV/ONCY,Biotechnology,0.9191,0.28802,624
SNGX/VXRT,Biotechnology,0.8591,0.2883,624
ONCY/SONN,Biotechnology,0.8952,0.28936,624
PSTV/SONN,Biotechnology,0.8429,0.2953,624
LSTA/VXRT,Biotechnology,0.9368,0.29551,624
ABEO/CYCC,Biotechnology,0.9159,0.29586,624
CSCI/VXRT,Biotechnology,0.8424,0.29718,624
IRD/LSTA,Biotechnology,0.8676,0.29861,624
CSCI/PSTV,Biotechnology,0.8334,0.30007,624
MNKD/PALI,Biotechnology,0.9038,0.30039,624
ONCY/PSTV,Biotechnology,0.8927,0.30088,624
ACHV/TENX,Biotechnology,0.827,0.30115,624
MRKR/PSTV,Biotechnology,0.88,0.30203,624
ACHV/MRKR,Biotechnology,0.8489,0.3026,624
