Ticker Pair,Industry,Correlation,Avg P-Value,Tests Run
NX/OC,Building Products & Equipment,0.8534,0.14107,624
LPX/OC,Building Products & Equipment,0.9546,0.29086,624
AAON/TT,Building Products & Equipment,0.9787,0.29835,624
LPX/TT,Building Products & Equipment,0.9683,0.36071,624
LPX/MAS,Building Products & Equipment,0.9223,0.36724,624
GFF/SPXC,Building Products & Equipment,0.9665,0.37611,624
LII/MAS,Building Products & Equipment,0.9508,0.37769,624
SPXC/TT,Building Products & Equipment,0.9868,0.37873,624
AWI/CSL,Building Products & Equipment,0.8911,0.39463,624
LPX/SPXC,Building Products & Equipment,0.9463,0.39617,624
GFF/LII,Building Products & Equipment,0.9225,0.40143,624
MAS/TREX,Building Products & Equipment,0.8973,0.41023,624
GFF/MAS,Building Products & Equipment,0.8368,0.41658,624
GFF/OC,Building Products & Equipment,0.9542,0.41768,624
LPX/TREX,Building Products & Equipment,0.8031,0.42239,624
AWI/LII,Building Products & Equipment,0.924,0.44022,624
MAS/TT,Building Products & Equipment,0.9138,0.44695,624
GFF/TT,Building Products & Equipment,0.9557,0.44714,624
LII/TT,Building Products & Equipment,0.9696,0.45211,624
AWI/TREX,Building Products & Equipment,0.8115,0.45302,624
MAS/OC,Building Products & Equipment,0.9189,0.45541,624
BLDR/MAS,Building Products & Equipment,0.856,0.45628,624
AAON/SPXC,Building Products & Equipment,0.9685,0.45831,624
AWI/MAS,Building Products & Equipment,0.8927,0.46399,624
AAON/LII,Building Products & Equipment,0.971,0.46509,624
ROCK/TREX,Building Products & Equipment,0.9344,0.46608,624
JCI/LPX,Building Products & Equipment,0.9515,0.46673,624
BLDR/OC,Building Products & Equipment,0.9609,0.47228,624
OC/TT,Building Products & Equipment,0.9631,0.47347,624
GFF/LPX,Building Products & Equipment,0.9107,0.47941,624
AAON/MAS,Building Products & Equipment,0.9247,0.47951,624
OC/SPXC,Building Products & Equipment,0.9596,0.48083,624
GFF/JCI,Building Products & Equipment,0.8286,0.48636,624
AWI/TT,Building Products & Equipment,0.9131,0.48958,624
OC/ROCK,Building Products & Equipment,0.8044,0.49358,624
JCI/TT,Building Products & Equipment,0.9228,0.49486,624
AWI/LPX,Building Products & Equipment,0.8946,0.50868,624
AWI/JCI,Building Products & Equipment,0.8896,0.51107,624
JCI/TREX,Building Products & Equipment,0.8343,0.51324,624
MAS/SPXC,Building Products & Equipment,0.8775,0.52194,624
CSL/LII,Building Products & Equipment,0.9403,0.52631,624
CSL/TT,Building Products & Equipment,0.97,0.52661,624
JCI/SPXC,Building Products & Equipment,0.8782,0.5275,624
BLDR/LPX,Building Products & Equipment,0.9234,0.53112,624
AAON/GFF,Building Products & Equipment,0.9422,0.53916,624
LII/OC,Building Products & Equipment,0.9521,0.54729,624
CSL/MAS,Building Products & Equipment,0.9193,0.54882,624
AWI/OC,Building Products & Equipment,0.8492,0.54992,624
AWI/SPXC,Building Products & Equipment,0.8912,0.55,624
JCI/MAS,Building Products & Equipment,0.9229,0.55023,624
AAON/OC,Building Products & Equipment,0.9576,0.55109,624
JCI/OC,Building Products & Equipment,0.8923,0.55627,624
JCI/LII,Building Products & Equipment,0.9016,0.56181,624
MAS/ROCK,Building Products & Equipment,0.9259,0.56277,624
AAON/CSL,Building Products & Equipment,0.9501,0.564,624
CSL/JCI,Building Products & Equipment,0.9194,0.56425,624
BLDR/GFF,Building Products & Equipment,0.9522,0.56515,624
CSL/GFF,Building Products & Equipment,0.9383,0.56787,624
AWI/GFF,Building Products & Equipment,0.8194,0.57149,624
AAON/LPX,Building Products & Equipment,0.9473,0.57902,624
CSL/SPXC,Building Products & Equipment,0.9579,0.58839,624
BLDR/SPXC,Building Products & Equipment,0.9416,0.59129,624
LII/SPXC,Building Products & Equipment,0.9525,0.59193,624
AAON/AWI,Building Products & Equipment,0.8974,0.59928,624
AAON/ROCK,Building Products & Equipment,0.8145,0.60501,624
BLDR/CSL,Building Products & Equipment,0.9453,0.60521,624
BLDR/LII,Building Products & Equipment,0.8954,0.60549,624
JCI/ROCK,Building Products & Equipment,0.8294,0.60851,624
AAON/JCI,Building Products & Equipment,0.9058,0.61823,624
AAON/BLDR,Building Products & Equipment,0.9296,0.62732,624
BLDR/TT,Building Products & Equipment,0.9382,0.63222,624
LII/LPX,Building Products & Equipment,0.9316,0.63709,624
CSL/LPX,Building Products & Equipment,0.9658,0.63855,624
BLDR/JCI,Building Products & Equipment,0.838,0.66848,624
CSL/OC,Building Products & Equipment,0.9582,0.68097,624
LII/ROCK,Building Products & Equipment,0.8554,0.68288,624
BLDR/NX,Building Products & Equipment,0.8593,0.68368,624
CSL/NX,Building Products & Equipment,0.8134,0.74388,624
