Ticker Pair,Industry,Correlation,Avg P-Value,Tests Run
ACM/PWR,Engineering & Construction,0.9607,0.24519,624
GVA/IESC,Engineering & Construction,0.8033,0.25048,624
ACM/STN,Engineering & Construction,0.9672,0.27363,624
ACM/FIX,Engineering & Construction,0.893,0.27407,624
ACM/MYRG,Engineering & Construction,0.9616,0.29265,624
ACM/IESC,Engineering & Construction,0.843,0.31403,624
ACM/STRL,Engineering & Construction,0.8388,0.31512,624
ACM/EME,Engineering & Construction,0.8987,0.3319,624
ACM/J,Engineering & Construction,0.9438,0.33605,624
MYRG/STN,Engineering & Construction,0.9545,0.33817,624
ACM/KBR,Engineering & Construction,0.91,0.33982,624
DY/FIX,Engineering & Construction,0.837,0.35059,624
J/MTZ,Engineering & Construction,0.9464,0.37158,624
MYRG/STRL,Engineering & Construction,0.8067,0.37206,624
ACM/DY,Engineering & Construction,0.815,0.37353,624
ESOA/FIX,Engineering & Construction,0.8972,0.37752,624
ACM/TTEK,Engineering & Construction,0.9517,0.38272,624
J/TTEK,Engineering & Construction,0.9726,0.38443,624
KBR/TTEK,Engineering & Construction,0.8875,0.38849,624
ESOA/STRL,Engineering & Construction,0.932,0.38857,624
KBR/PWR,Engineering & Construction,0.9031,0.39199,624
ACM/EXPO,Engineering & Construction,0.8557,0.39489,624
GVA/PRIM,Engineering & Construction,0.8662,0.39507,624
ESOA/PWR,Engineering & Construction,0.8433,0.3956,624
EME/STRL,Engineering & Construction,0.9739,0.39777,624
KBR/MYRG,Engineering & Construction,0.9079,0.41056,624
PWR/STRL,Engineering & Construction,0.9419,0.41517,624
PRIM/STRL,Engineering & Construction,0.8851,0.41811,624
KBR/STN,Engineering & Construction,0.8761,0.41841,624
DY/PRIM,Engineering & Construction,0.8363,0.41902,624
STN/STRL,Engineering & Construction,0.867,0.42159,624
MYRG/PWR,Engineering & Construction,0.9393,0.42406,624
PRIM/STN,Engineering & Construction,0.8451,0.42633,624
PWR/STN,Engineering & Construction,0.9657,0.42775,624
EME/MTZ,Engineering & Construction,0.8474,0.43012,624
AGX/IESC,Engineering & Construction,0.8993,0.43264,624
ESOA/IESC,Engineering & Construction,0.897,0.43867,624
EME/ESOA,Engineering & Construction,0.8776,0.43926,624
ACM/MTZ,Engineering & Construction,0.9212,0.44154,624
IESC/PWR,Engineering & Construction,0.9253,0.44364,624
IESC/PRIM,Engineering & Construction,0.928,0.44425,624
EME/IESC,Engineering & Construction,0.9769,0.45002,624
MYRG/TTEK,Engineering & Construction,0.9274,0.46055,624
EXPO/J,Engineering & Construction,0.9445,0.46344,624
IESC/TTEK,Engineering & Construction,0.8021,0.46458,624
EXPO/STN,Engineering & Construction,0.8078,0.46738,624
EME/GVA,Engineering & Construction,0.8085,0.46863,624
STN/TTEK,Engineering & Construction,0.9244,0.47056,624
FIX/STRL,Engineering & Construction,0.9817,0.47229,624
J/KBR,Engineering & Construction,0.8667,0.48097,624
EXPO/TTEK,Engineering & Construction,0.9382,0.4896,624
EME/PWR,Engineering & Construction,0.9671,0.49392,624
DY/PWR,Engineering & Construction,0.8205,0.49416,624
DY/EME,Engineering & Construction,0.8525,0.5009,624
EME/FIX,Engineering & Construction,0.9952,0.50222,624
FIX/PWR,Engineering & Construction,0.9691,0.50229,624
KBR/MTZ,Engineering & Construction,0.817,0.50265,624
DY/STN,Engineering & Construction,0.8337,0.50287,624
DY/IESC,Engineering & Construction,0.8122,0.50514,624
DY/GVA,Engineering & Construction,0.8686,0.50951,624
J/STN,Engineering & Construction,0.9081,0.51653,624
PRIM/PWR,Engineering & Construction,0.8576,0.51747,624
FIX/STN,Engineering & Construction,0.9177,0.51815,624
EME/STN,Engineering & Construction,0.9244,0.51844,624
FIX/J,Engineering & Construction,0.8074,0.52109,624
MTZ/PRIM,Engineering & Construction,0.8152,0.53064,624
AGX/EME,Engineering & Construction,0.8661,0.53343,624
AGX/GVA,Engineering & Construction,0.8685,0.53795,624
EME/TTEK,Engineering & Construction,0.8555,0.54032,624
J/MYRG,Engineering & Construction,0.9136,0.54134,624
IESC/STRL,Engineering & Construction,0.9705,0.54191,624
AGX/PRIM,Engineering & Construction,0.9086,0.54681,624
EME/J,Engineering & Construction,0.8246,0.55386,624
IESC/MTZ,Engineering & Construction,0.8141,0.56316,624
PWR/TTEK,Engineering & Construction,0.9099,0.56402,624
IESC/STN,Engineering & Construction,0.8677,0.56979,624
EXPO/MTZ,Engineering & Construction,0.8935,0.57056,624
FIX/PRIM,Engineering & Construction,0.909,0.5746,624
MTZ/TTEK,Engineering & Construction,0.9243,0.57752,624
EXPO/MYRG,Engineering & Construction,0.8273,0.5822,624
J/PWR,Engineering & Construction,0.8794,0.58338,624
AGX/STRL,Engineering & Construction,0.823,0.58437,624
AGX/DY,Engineering & Construction,0.8395,0.59248,624
EME/KBR,Engineering & Construction,0.8026,0.60436,624
DY/MTZ,Engineering & Construction,0.8069,0.60724,624
EME/MYRG,Engineering & Construction,0.8602,0.60772,624
EME/PRIM,Engineering & Construction,0.9219,0.60893,624
FIX/KBR,Engineering & Construction,0.8035,0.61183,624
MTZ/STN,Engineering & Construction,0.8838,0.61667,624
AGX/FIX,Engineering & Construction,0.8577,0.61717,624
MTZ/PWR,Engineering & Construction,0.8753,0.61811,624
FIX/MYRG,Engineering & Construction,0.8574,0.62619,624
FIX/TTEK,Engineering & Construction,0.8402,0.62785,624
FIX/IESC,Engineering & Construction,0.9773,0.62937,624
MTZ/MYRG,Engineering & Construction,0.8818,0.66493,624
FIX/MTZ,Engineering & Construction,0.8257,0.66632,624
