Ticker Pair,Industry,Correlation,Avg P-Value,Tests Run
DE/LNN,Farm & Heavy Construction Machinery,0.9097,0.20581,624
LNN/OSK,Farm & Heavy Construction Machinery,0.8793,0.22714,624
LNN/SHYF,Farm & Heavy Construction Machinery,0.8231,0.24223,624
AGCO/OSK,Farm & Heavy Construction Machinery,0.8893,0.27845,624
AGCO/ALG,Farm & Heavy Construction Machinery,0.9129,0.29559,624
DE/PCAR,Farm & Heavy Construction Machinery,0.9048,0.31674,624
AGCO/TEX,Farm & Heavy Construction Machinery,0.816,0.31981,624
ALG/OSK,Farm & Heavy Construction Machinery,0.9444,0.34246,624
CMCO/OSK,Farm & Heavy Construction Machinery,0.8771,0.35059,624
AGCO/LNN,Farm & Heavy Construction Machinery,0.9333,0.36228,624
AGCO/CAT,Farm & Heavy Construction Machinery,0.858,0.3683,624
AGCO/PCAR,Farm & Heavy Construction Machinery,0.817,0.37223,624
ALG/PCAR,Farm & Heavy Construction Machinery,0.9252,0.37295,624
ALG/TEX,Farm & Heavy Construction Machinery,0.8224,0.38289,624
OSK/PCAR,Farm & Heavy Construction Machinery,0.8349,0.40319,624
DE/OSK,Farm & Heavy Construction Machinery,0.8805,0.41183,624
OSK/TEX,Farm & Heavy Construction Machinery,0.8105,0.43319,624
TEX/WNC,Farm & Heavy Construction Machinery,0.8503,0.43373,624
AGCO/DE,Farm & Heavy Construction Machinery,0.9568,0.43594,624
ALG/WNC,Farm & Heavy Construction Machinery,0.8231,0.4425,624
ALG/LNN,Farm & Heavy Construction Machinery,0.872,0.45685,624
CAT/DE,Farm & Heavy Construction Machinery,0.9409,0.46643,624
ALG/DE,Farm & Heavy Construction Machinery,0.9361,0.46681,624
PCAR/TEX,Farm & Heavy Construction Machinery,0.8043,0.46803,624
ALG/CAT,Farm & Heavy Construction Machinery,0.9251,0.48759,624
CAT/PCAR,Farm & Heavy Construction Machinery,0.9747,0.50771,624
CAT/TEX,Farm & Heavy Construction Machinery,0.8266,0.52324,624
CAT/OSK,Farm & Heavy Construction Machinery,0.8562,0.59139,624
