Ticker Pair,Industry,Correlation,Avg P-Value,Tests Run
ICE/SPGI,Financial Data & Stock Exchanges,0.9871,0.21798,624
MSCI/NDAQ,Financial Data & Stock Exchanges,0.9756,0.23335,624
MCO/SPGI,Financial Data & Stock Exchanges,0.9956,0.24577,624
ICE/MSCI,Financial Data & Stock Exchanges,0.9521,0.29946,624
ICE/MCO,Financial Data & Stock Exchanges,0.9894,0.31994,624
MSCI/SPGI,Financial Data & Stock Exchanges,0.9801,0.33796,624
CME/ICE,Financial Data & Stock Exchanges,0.9746,0.33891,624
FDS/MSCI,Financial Data & Stock Exchanges,0.9763,0.3806,624
FDS/VALU,Financial Data & Stock Exchanges,0.9141,0.3822,624
FDS/ICE,Financial Data & Stock Exchanges,0.9609,0.39348,624
ICE/MORN,Financial Data & Stock Exchanges,0.9639,0.42345,624
CME/SPGI,Financial Data & Stock Exchanges,0.9617,0.42576,624
ICE/NDAQ,Financial Data & Stock Exchanges,0.9781,0.43002,624
CME/MSCI,Financial Data & Stock Exchanges,0.9229,0.43132,624
MCO/MSCI,Financial Data & Stock Exchanges,0.9713,0.43566,624
CME/FDS,Financial Data & Stock Exchanges,0.9486,0.43576,624
MSCI/VALU,Financial Data & Stock Exchanges,0.885,0.45116,624
CME/MCO,Financial Data & Stock Exchanges,0.9549,0.45176,624
FDS/NDAQ,Financial Data & Stock Exchanges,0.9763,0.45298,624
FDS/SPGI,Financial Data & Stock Exchanges,0.9782,0.4531,624
NDAQ/SPGI,Financial Data & Stock Exchanges,0.9846,0.46614,624
MCO/NDAQ,Financial Data & Stock Exchanges,0.9832,0.46876,624
MORN/NDAQ,Financial Data & Stock Exchanges,0.9761,0.46912,624
FDS/MCO,Financial Data & Stock Exchanges,0.9692,0.46988,624
SPGI/VALU,Financial Data & Stock Exchanges,0.8647,0.47739,624
CME/NDAQ,Financial Data & Stock Exchanges,0.9485,0.47746,624
ICE/VALU,Financial Data & Stock Exchanges,0.8355,0.48475,624
MCO/VALU,Financial Data & Stock Exchanges,0.8469,0.50855,624
CME/VALU,Financial Data & Stock Exchanges,0.8432,0.51006,624
NDAQ/VALU,Financial Data & Stock Exchanges,0.8867,0.51906,624
MORN/VALU,Financial Data & Stock Exchanges,0.8757,0.5239,624
FDS/MORN,Financial Data & Stock Exchanges,0.9644,0.52504,624
MORN/SPGI,Financial Data & Stock Exchanges,0.9751,0.53076,624
CME/MORN,Financial Data & Stock Exchanges,0.9264,0.53685,624
MORN/MSCI,Financial Data & Stock Exchanges,0.9753,0.59745,624
MCO/MORN,Financial Data & Stock Exchanges,0.9755,0.60601,624
