Ticker Pair,Industry,Correlation,Avg P-Value,Tests Run
BSET/MHK,"Furnishings, Fixtures & Appliances",0.8752,0.20321,624
LZB/PATK,"Furnishings, Fixtures & Appliances",0.9141,0.20973,624
BSET/HOFT,"Furnishings, Fixtures & Appliances",0.8087,0.29675,624
AMWD/HOFT,"Furnishings, Fixtures & Appliances",0.8242,0.32596,624
KEQU/VIRC,"Furnishings, Fixtures & Appliances",0.8213,0.38489,624
CRWS/WHR,"Furnishings, Fixtures & Appliances",0.8832,0.39009,624
HOFT/MHK,"Furnishings, Fixtures & Appliances",0.8062,0.39069,624
LEG/WHR,"Furnishings, Fixtures & Appliances",0.8236,0.41592,624
HNI/LZB,"Furnishings, Fixtures & Appliances",0.8524,0.42398,624
HNI/PATK,"Furnishings, Fixtures & Appliances",0.8143,0.44953,624
ETD/SGI,"Furnishings, Fixtures & Appliances",0.8339,0.51066,624
PATK/SGI,"Furnishings, Fixtures & Appliances",0.8858,0.52679,624
