Ticker Pair,Industry,Correlation,Avg P-Value,Tests Run
CGAU/SA,Gold,0.8522,0.27465,624
CGAU/IAG,Gold,0.8114,0.29307,624
B/HMY,Gold,0.8175,0.30006,624
HMY/KGC,Gold,0.8993,0.30811,624
GFI/WPM,Gold,0.8869,0.34089,624
AU/HMY,Gold,0.9368,0.35164,624
IAG/ODV,Gold,0.8362,0.36334,624
B/CGAU,Gold,0.8986,0.38227,624
KGC/SA,Gold,0.8641,0.3877,624
AU/IAG,Gold,0.8034,0.38829,624
AU/B,Gold,0.9199,0.40144,624
IAG/KGC,Gold,0.8488,0.4015,624
EGO/USAU,Gold,0.8459,0.40668,624
B/KGC,Gold,0.8769,0.4119,624
AEM/WPM,Gold,0.8599,0.41598,624
EGO/IAG,Gold,0.9159,0.41955,624
AU/CGAU,Gold,0.8418,0.42189,624
IAG/USAU,Gold,0.8224,0.43662,624
AGI/HMY,Gold,0.8763,0.43947,624
NEM/PAAS,Gold,0.8517,0.44349,624
IAG/SA,Gold,0.8127,0.44987,624
B/IAG,Gold,0.8972,0.4541,624
B/EGO,Gold,0.8425,0.46365,624
CDE/EGO,Gold,0.891,0.47763,624
CDE/IAG,Gold,0.9059,0.48002,624
B/SA,Gold,0.8813,0.49735,624
AU/KGC,Gold,0.9292,0.5012,624
FNV/RGLD,Gold,0.9215,0.50387,624
B/CDE,Gold,0.8437,0.51449,624
RGLD/WPM,Gold,0.8578,0.52515,624
DRD/WPM,Gold,0.9141,0.53409,624
AU/SA,Gold,0.8294,0.55634,624
DRD/FNV,Gold,0.8403,0.5689,624
DRD/RGLD,Gold,0.8212,0.6811,624
