Ticker Pair,Industry,Correlation,Avg P-Value,Tests Run
CNC/HUM,Healthcare Plans,0.9509,0.30501,624
MOH/UNH,Healthcare Plans,0.9789,0.31469,624
CNC/UNH,Healthcare Plans,0.9142,0.32934,624
ELV/MOH,Healthcare Plans,0.9774,0.36612,624
HUM/UNH,Healthcare Plans,0.9025,0.37207,624
CNC/ELV,Healthcare Plans,0.9319,0.37526,624
ELV/HUM,Healthcare Plans,0.9152,0.42593,624
CI/HUM,Healthcare Plans,0.8626,0.43307,624
ELV/UNH,Healthcare Plans,0.9856,0.43418,624
CNC/MOH,Healthcare Plans,0.8857,0.44291,624
CI/MOH,Healthcare Plans,0.9304,0.45776,624
CI/CNC,Healthcare Plans,0.9109,0.46437,624
HUM/MOH,Healthcare Plans,0.8815,0.47872,624
CI/UNH,Healthcare Plans,0.956,0.53704,624
CI/ELV,Healthcare Plans,0.9594,0.54476,624
