Ticker Pair,Industry,Correlation,Avg P-Value,Tests Run
FAST/POOL,Industrial Distribution,0.9037,0.27536,624
AIT/GWW,Industrial Distribution,0.9878,0.31141,624
AIT/WSO,Industrial Distribution,0.974,0.31372,624
MSM/WCC,Industrial Distribution,0.8482,0.32592,624
FAST/WSO,Industrial Distribution,0.978,0.33568,624
DSGR/FAST,Industrial Distribution,0.9185,0.36973,624
AIT/WCC,Industrial Distribution,0.9109,0.3833,624
BXC/WCC,Industrial Distribution,0.8812,0.38806,624
GWW/WSO,Industrial Distribution,0.9761,0.39201,624
POOL/WSO,Industrial Distribution,0.8549,0.39249,624
WCC/WSO,Industrial Distribution,0.8852,0.3955,624
MSM/WSO,Industrial Distribution,0.8735,0.39988,624
BXC/GWW,Industrial Distribution,0.8784,0.40578,624
FAST/WCC,Industrial Distribution,0.8769,0.41446,624
GWW/WCC,Industrial Distribution,0.9192,0.42294,624
GIC/WSO,Industrial Distribution,0.8282,0.4257,624
DSGR/POOL,Industrial Distribution,0.8805,0.43663,624
MSM/POOL,Industrial Distribution,0.8523,0.4475,624
DSGR/WSO,Industrial Distribution,0.9158,0.45562,624
AIT/FAST,Industrial Distribution,0.948,0.46012,624
GIC/POOL,Industrial Distribution,0.9297,0.46167,624
DSGR/GIC,Industrial Distribution,0.8757,0.46233,624
GIC/MSM,Industrial Distribution,0.8384,0.47354,624
BXC/WSO,Industrial Distribution,0.8481,0.47494,624
FAST/GWW,Industrial Distribution,0.9628,0.48247,624
AIT/BXC,Industrial Distribution,0.8627,0.48939,624
FAST/MSM,Industrial Distribution,0.8789,0.48982,624
DSGR/GWW,Industrial Distribution,0.8726,0.49013,624
DSGR/MSM,Industrial Distribution,0.8223,0.5092,624
AIT/MSM,Industrial Distribution,0.8379,0.51906,624
BXC/FAST,Industrial Distribution,0.8545,0.52139,624
FAST/GIC,Industrial Distribution,0.8695,0.52497,624
AIT/DSGR,Industrial Distribution,0.8588,0.61189,624
GWW/MSM,Industrial Distribution,0.8466,0.62154,624
