Ticker Pair,Industry,Correlation,Avg P-Value,Tests Run
CACI/FI,Information Technology Services,0.9601,0.23891,624
HCKT/IT,Information Technology Services,0.9091,0.24217,624
CACI/GIB,Information Technology Services,0.9584,0.26494,624
GIB/WNS,Information Technology Services,0.8766,0.26948,624
G/WNS,Information Technology Services,0.9562,0.27658,624
CSPI/IT,Information Technology Services,0.8536,0.27882,624
CACI/IT,Information Technology Services,0.9505,0.28054,624
CSPI/GIB,Information Technology Services,0.8018,0.29223,624
GIB/IT,Information Technology Services,0.9254,0.2936,624
CSPI/FI,Information Technology Services,0.8596,0.2936,624
IBM/INOD,Information Technology Services,0.8506,0.29564,624
FI/IT,Information Technology Services,0.9139,0.29676,624
MGIC/TTGT,Information Technology Services,0.8975,0.30892,624
CACI/WNS,Information Technology Services,0.8009,0.31193,624
G/GIB,Information Technology Services,0.9126,0.31513,624
ACN/WNS,Information Technology Services,0.8863,0.32276,624
ACN/BR,Information Technology Services,0.9729,0.32814,624
FI/GIB,Information Technology Services,0.9563,0.33199,624
MGIC/WNS,Information Technology Services,0.9176,0.33404,624
CACI/JKHY,Information Technology Services,0.9079,0.34604,624
CSPI/LDOS,Information Technology Services,0.8224,0.34668,624
CACI/LDOS,Information Technology Services,0.9843,0.35037,624
ACN/EXLS,Information Technology Services,0.929,0.35315,624
HCKT/LDOS,Information Technology Services,0.8996,0.35962,624
GIB/JKHY,Information Technology Services,0.9422,0.36113,624
INFY/WNS,Information Technology Services,0.8415,0.36584,624
ACN/FI,Information Technology Services,0.9268,0.36686,624
CACI/HCKT,Information Technology Services,0.9105,0.37,624
INFY/MGIC,Information Technology Services,0.9019,0.37163,624
HCKT/JKHY,Information Technology Services,0.901,0.37177,624
BR/WNS,Information Technology Services,0.8456,0.37382,624
EXLS/G,Information Technology Services,0.847,0.38348,624
ASGN/TTGT,Information Technology Services,0.8266,0.38511,624
CTSH/WNS,Information Technology Services,0.8157,0.3891,624
HCKT/INFY,Information Technology Services,0.8466,0.39242,624
ASGN/CTSH,Information Technology Services,0.905,0.39958,624
INOD/TSSI,Information Technology Services,0.877,0.39959,624
ASGN/WNS,Information Technology Services,0.9186,0.40701,624
ACN/MGIC,Information Technology Services,0.9005,0.4076,624
ACN/GIB,Information Technology Services,0.9651,0.40915,624
ASGN/FORTY,Information Technology Services,0.8977,0.4103,624
EXLS/JKHY,Information Technology Services,0.8437,0.41129,624
BR/GIB,Information Technology Services,0.9751,0.41375,624
ACN/IT,Information Technology Services,0.9398,0.41411,624
BR/IT,Information Technology Services,0.9424,0.41439,624
ASGN/GIB,Information Technology Services,0.8963,0.4158,624
FI/JKHY,Information Technology Services,0.9077,0.41689,624
JKHY/WNS,Information Technology Services,0.933,0.41748,624
LDOS/WNS,Information Technology Services,0.8054,0.42274,624
IT/JKHY,Information Technology Services,0.8244,0.42472,624
INFY/IT,Information Technology Services,0.9162,0.42529,624
ACN/JKHY,Information Technology Services,0.9307,0.42825,624
G/MGIC,Information Technology Services,0.9156,0.42896,624
ACN/G,Information Technology Services,0.9201,0.42923,624
CACI/CSPI,Information Technology Services,0.8269,0.42962,624
EXLS/FI,Information Technology Services,0.9109,0.4298,624
CSPI/HCKT,Information Technology Services,0.8022,0.43106,624
EXLS/GIB,Information Technology Services,0.9033,0.43176,624
ACN/CACI,Information Technology Services,0.9493,0.43262,624
CTLP/CTSH,Information Technology Services,0.822,0.43482,624
ASGN/BR,Information Technology Services,0.8784,0.4362,624
BR/CACI,Information Technology Services,0.9717,0.43704,624
EXLS/IT,Information Technology Services,0.9636,0.43718,624
FORTY/MGIC,Information Technology Services,0.9581,0.44108,624
CACI/FORTY,Information Technology Services,0.8745,0.44791,624
CTSH/FI,Information Technology Services,0.8299,0.45508,624
ASGN/INFY,Information Technology Services,0.8639,0.45651,624
EXLS/MGIC,Information Technology Services,0.8078,0.46032,624
CTLP/FIS,Information Technology Services,0.8034,0.46195,624
CSPI/IBM,Information Technology Services,0.8348,0.46264,624
GIB/MGIC,Information Technology Services,0.8308,0.46321,624
ASGN/MGIC,Information Technology Services,0.895,0.46357,624
EXLS/HCKT,Information Technology Services,0.9073,0.4649,624
ASGN/JKHY,Information Technology Services,0.922,0.46496,624
CACI/INFY,Information Technology Services,0.9048,0.46517,624
ACN/ASGN,Information Technology Services,0.9125,0.4696,624
G/HCKT,Information Technology Services,0.864,0.47019,624
ASGN/FI,Information Technology Services,0.8124,0.47497,624
FORTY/LDOS,Information Technology Services,0.8914,0.4795,624
INFY/JKHY,Information Technology Services,0.8545,0.47986,624
CTSH/FORTY,Information Technology Services,0.8086,0.4822,624
ACN/INFY,Information Technology Services,0.9633,0.48438,624
BR/FI,Information Technology Services,0.9739,0.48592,624
EXLS/INFY,Information Technology Services,0.9155,0.48718,624
JKHY/LDOS,Information Technology Services,0.92,0.49123,624
BR/MGIC,Information Technology Services,0.8366,0.49169,624
CTSH/JKHY,Information Technology Services,0.8701,0.49178,624
BR/INFY,Information Technology Services,0.9203,0.49706,624
ACN/HCKT,Information Technology Services,0.9107,0.49852,624
ASGN/CTLP,Information Technology Services,0.8133,0.49916,624
