Ticker Pair,Industry,Correlation,Avg P-Value,Tests Run
DGICA/WTM,Insurance - Property & Casualty,0.9084,0.16102,624
DGICA/WRB,Insurance - Property & Casualty,0.8957,0.16498,624
DGICA/PGR,Insurance - Property & Casualty,0.8549,0.18492,624
DGICA/TRV,Insurance - Property & Casualty,0.926,0.18776,624
DGICA/SAFT,Insurance - Property & Casualty,0.8546,0.19353,624
DGICA/RLI,Insurance - Property & Casualty,0.8961,0.2022,624
DGICA/HCI,Insurance - Property & Casualty,0.8486,0.20654,624
HMN/SAFT,Insurance - Property & Casualty,0.9326,0.21337,624
DGICA/STC,Insurance - Property & Casualty,0.8771,0.2146,624
DGICA/ORI,Insurance - Property & Casualty,0.8985,0.21484,624
DGICA/SIGI,Insurance - Property & Casualty,0.8682,0.21921,624
DGICA/MKL,Insurance - Property & Casualty,0.9219,0.22922,624
DGICA/L,Insurance - Property & Casualty,0.8314,0.23836,624
DGICA/HMN,Insurance - Property & Casualty,0.8429,0.23974,624
DGICA/THG,Insurance - Property & Casualty,0.895,0.24122,624
DGICA/HIG,Insurance - Property & Casualty,0.8982,0.25099,624
SIGI/TRV,Insurance - Property & Casualty,0.9373,0.25937,624
MKL/TRV,Insurance - Property & Casualty,0.9631,0.27101,624
GBLI/HMN,Insurance - Property & Casualty,0.8009,0.28036,624
L/MKL,Insurance - Property & Casualty,0.8618,0.28218,624
HMN/THG,Insurance - Property & Casualty,0.9114,0.28479,624
GBLI/MKL,Insurance - Property & Casualty,0.8416,0.29575,624
HMN/STC,Insurance - Property & Casualty,0.8558,0.30022,624
HMN/SIGI,Insurance - Property & Casualty,0.83,0.30062,624
HMN/WTM,Insurance - Property & Casualty,0.8012,0.30104,624
HMN/MKL,Insurance - Property & Casualty,0.9054,0.30555,624
HMN/MCY,Insurance - Property & Casualty,0.826,0.30816,624
KMPR/SAFT,Insurance - Property & Casualty,0.886,0.31223,624
MKL/PGR,Insurance - Property & Casualty,0.8736,0.31335,624
HMN/KMPR,Insurance - Property & Casualty,0.8701,0.31969,624
SAFT/THG,Insurance - Property & Casualty,0.9707,0.32046,624
MKL/THG,Insurance - Property & Casualty,0.9611,0.32188,624
L/TRV,Insurance - Property & Casualty,0.9348,0.33021,624
ALL/CB,Insurance - Property & Casualty,0.9821,0.33311,624
ALL/TRV,Insurance - Property & Casualty,0.9865,0.33471,624
RLI/WTM,Insurance - Property & Casualty,0.9758,0.33602,624
MKL/SIGI,Insurance - Property & Casualty,0.9433,0.33786,624
CNA/L,Insurance - Property & Casualty,0.9147,0.33844,624
L/SIGI,Insurance - Property & Casualty,0.8502,0.33846,624
CB/HIG,Insurance - Property & Casualty,0.9833,0.33914,624
MKL/ORI,Insurance - Property & Casualty,0.9356,0.34114,624
HMN/TRV,Insurance - Property & Casualty,0.8289,0.34472,624
CINF/WTM,Insurance - Property & Casualty,0.9458,0.35058,624
UFCS/UVE,Insurance - Property & Casualty,0.841,0.36071,624
AFG/MKL,Insurance - Property & Casualty,0.9378,0.36182,624
CB/DGICA,Insurance - Property & Casualty,0.9161,0.36187,624
CNA/HIG,Insurance - Property & Casualty,0.9527,0.36372,624
CNA/GBLI,Insurance - Property & Casualty,0.8105,0.36547,624
KMPR/THG,Insurance - Property & Casualty,0.8412,0.36714,624
ALL/L,Insurance - Property & Casualty,0.9245,0.37106,624
L/PGR,Insurance - Property & Casualty,0.9357,0.37109,624
SAFT/TRV,Insurance - Property & Casualty,0.8927,0.38176,624
WRB/WTM,Insurance - Property & Casualty,0.9673,0.38294,624
HIG/THG,Insurance - Property & Casualty,0.9099,0.38366,624
MKL/WTM,Insurance - Property & Casualty,0.953,0.38533,624
MKL/WRB,Insurance - Property & Casualty,0.9211,0.38996,624
SIGI/WTM,Insurance - Property & Casualty,0.9437,0.39738,624
ALL/DGICA,Insurance - Property & Casualty,0.9174,0.40046,624
MCY/STC,Insurance - Property & Casualty,0.8731,0.40215,624
HIG/ORI,Insurance - Property & Casualty,0.9867,0.40349,624
CB/TRV,Insurance - Property & Casualty,0.9928,0.40648,624
ORI/SIGI,Insurance - Property & Casualty,0.9208,0.40826,624
CB/SIGI,Insurance - Property & Casualty,0.9393,0.40873,624
PGR/SIGI,Insurance - Property & Casualty,0.8698,0.40952,624
CNA/ORI,Insurance - Property & Casualty,0.9483,0.41251,624
ORI/THG,Insurance - Property & Casualty,0.9149,0.41644,624
SAFT/SIGI,Insurance - Property & Casualty,0.9392,0.41721,624
MCY/TRV,Insurance - Property & Casualty,0.8023,0.42158,624
CB/WTM,Insurance - Property & Casualty,0.9799,0.42323,624
ALL/CNA,Insurance - Property & Casualty,0.9722,0.42751,624
THG/WTM,Insurance - Property & Casualty,0.9207,0.42761,624
SAFT/WRB,Insurance - Property & Casualty,0.8673,0.43114,624
AFG/HIG,Insurance - Property & Casualty,0.9475,0.43185,624
L/WRB,Insurance - Property & Casualty,0.933,0.43349,624
CB/MKL,Insurance - Property & Casualty,0.9543,0.43424,624
L/THG,Insurance - Property & Casualty,0.8334,0.4351,624
HIG/MKL,Insurance - Property & Casualty,0.9361,0.43547,624
TRV/WTM,Insurance - Property & Casualty,0.9788,0.43549,624
MKL/RLI,Insurance - Property & Casualty,0.9409,0.43738,624
MKL/SAFT,Insurance - Property & Casualty,0.9332,0.43795,624
ORI/PGR,Insurance - Property & Casualty,0.9735,0.44117,624
