Ticker Pair,Industry,Correlation,Avg P-Value,Tests Run
BDX/TFX,Medical Instruments & Supplies,0.8882,0.1969,624
HOLX/RGEN,Medical Instruments & Supplies,0.9286,0.19691,624
BDX/UTMD,Medical Instruments & Supplies,0.9423,0.21005,624
BDX/WST,Medical Instruments & Supplies,0.8376,0.22867,624
BDX/RMD,Medical Instruments & Supplies,0.8707,0.23503,624
AZTA/COO,Medical Instruments & Supplies,0.8798,0.29061,624
COO/RGEN,Medical Instruments & Supplies,0.8994,0.31405,624
BAX/TFX,Medical Instruments & Supplies,0.9358,0.3178,624
BDX/RGEN,Medical Instruments & Supplies,0.8241,0.32018,624
BDX/ICUI,Medical Instruments & Supplies,0.8326,0.32177,624
HOLX/WST,Medical Instruments & Supplies,0.9456,0.32827,624
RGEN/RMD,Medical Instruments & Supplies,0.9546,0.33178,624
HOLX/RMD,Medical Instruments & Supplies,0.9461,0.34039,624
HOLX/MMSI,Medical Instruments & Supplies,0.8917,0.34165,624
PDEX/RGEN,Medical Instruments & Supplies,0.8013,0.34712,624
AZTA/WST,Medical Instruments & Supplies,0.9151,0.35081,624
BDX/LMAT,Medical Instruments & Supplies,0.8067,0.3524,624
BDX/MMSI,Medical Instruments & Supplies,0.8549,0.35805,624
RMD/WST,Medical Instruments & Supplies,0.9454,0.36425,624
PDEX/RMD,Medical Instruments & Supplies,0.8674,0.3657,624
ATRC/STAA,Medical Instruments & Supplies,0.9215,0.36726,624
BDX/COO,Medical Instruments & Supplies,0.952,0.36952,624
COO/RMD,Medical Instruments & Supplies,0.9355,0.37035,624
AZTA/RMD,Medical Instruments & Supplies,0.8937,0.38487,624
HOLX/ISRG,Medical Instruments & Supplies,0.8658,0.38576,624
RGEN/WST,Medical Instruments & Supplies,0.9613,0.3863,624
AZTA/TFX,Medical Instruments & Supplies,0.8226,0.3911,624
HOLX/LMAT,Medical Instruments & Supplies,0.875,0.39117,624
AZTA/RGEN,Medical Instruments & Supplies,0.9406,0.39616,624
ICUI/UTMD,Medical Instruments & Supplies,0.8713,0.39686,624
BAX/UTMD,Medical Instruments & Supplies,0.8254,0.40481,624
