Ticker Pair,Industry,Correlation,Avg P-Value,Tests Run
MUR/MVO,Oil & Gas E&P,0.8003,0.19029,624
MVO/NRT,Oil & Gas E&P,0.8132,0.19915,624
DMLP/HES,Oil & Gas E&P,0.9681,0.2089,624
CRT/MVO,Oil & Gas E&P,0.8842,0.23916,624
CRK/USEG,Oil & Gas E&P,0.9607,0.25495,624
MTR/WDS,Oil & Gas E&P,0.8038,0.26779,624
CRK/OVV,Oil & Gas E&P,0.9162,0.27829,624
COP/DMLP,Oil & Gas E&P,0.953,0.28617,624
CRT/NRT,Oil & Gas E&P,0.8502,0.30049,624
CNQ/DMLP,Oil & Gas E&P,0.9672,0.31205,624
NOG/WTI,Oil & Gas E&P,0.9038,0.31601,624
CRT/MTR,Oil & Gas E&P,0.8098,0.32576,624
CRT/SJT,Oil & Gas E&P,0.8031,0.3258,624
APA/BTE,Oil & Gas E&P,0.8989,0.33064,624
MUR/WDS,Oil & Gas E&P,0.8259,0.33668,624
DVN/SJT,Oil & Gas E&P,0.8742,0.33957,624
MTR/SJT,Oil & Gas E&P,0.8416,0.34343,624
BTE/WTI,Oil & Gas E&P,0.9447,0.34407,624
BTE/RRC,Oil & Gas E&P,0.8551,0.34672,624
CNX/OVV,Oil & Gas E&P,0.8471,0.34855,624
CRK/NOG,Oil & Gas E&P,0.8654,0.36535,624
NOG/USEG,Oil & Gas E&P,0.8788,0.36908,624
EPSN/HES,Oil & Gas E&P,0.8795,0.37404,624
BTE/CRK,Oil & Gas E&P,0.8582,0.37571,624
BTE/USEG,Oil & Gas E&P,0.8335,0.37956,624
BTE/OVV,Oil & Gas E&P,0.8256,0.37963,624
APA/OVV,Oil & Gas E&P,0.9269,0.38151,624
APA/USEG,Oil & Gas E&P,0.8834,0.38249,624
NRT/SJT,Oil & Gas E&P,0.8398,0.38398,624
CNQ/EOG,Oil & Gas E&P,0.8434,0.38958,624
BTE/NOG,Oil & Gas E&P,0.9555,0.38985,624
DVN/NRT,Oil & Gas E&P,0.8312,0.39276,624
CRT/DVN,Oil & Gas E&P,0.8257,0.39613,624
DMLP/EOG,Oil & Gas E&P,0.8589,0.39761,624
APA/WTI,Oil & Gas E&P,0.8373,0.4021,624
APA/CRK,Oil & Gas E&P,0.8769,0.40814,624
CNQ/EPSN,Oil & Gas E&P,0.849,0.4093,624
APA/NOG,Oil & Gas E&P,0.9113,0.42295,624
COP/EOG,Oil & Gas E&P,0.9205,0.43331,624
OVV/USEG,Oil & Gas E&P,0.8939,0.43419,624
CNX/SM,Oil & Gas E&P,0.803,0.44172,624
BTE/SM,Oil & Gas E&P,0.8363,0.4555,624
HES/TPL,Oil & Gas E&P,0.8251,0.45899,624
RRC/SM,Oil & Gas E&P,0.9002,0.49725,624
CNQ/HES,Oil & Gas E&P,0.9577,0.49818,624
DMLP/TPL,Oil & Gas E&P,0.8842,0.50169,624
CNX/CRK,Oil & Gas E&P,0.8112,0.51343,624
CNQ/TPL,Oil & Gas E&P,0.8258,0.51719,624
COP/TPL,Oil & Gas E&P,0.8148,0.52192,624
EPSN/TPL,Oil & Gas E&P,0.8352,0.53433,624
NOG/OVV,Oil & Gas E&P,0.8477,0.53455,624
DMLP/EPSN,Oil & Gas E&P,0.8734,0.53458,624
COP/EPSN,Oil & Gas E&P,0.8507,0.53829,624
CNQ/COP,Oil & Gas E&P,0.9366,0.54138,624
DVN/MUR,Oil & Gas E&P,0.8804,0.54139,624
COP/HES,Oil & Gas E&P,0.9598,0.54567,624
EOG/HES,Oil & Gas E&P,0.8511,0.57823,624
