Ticker Pair,Industry,Correlation,Avg P-Value,Tests Run
NOV/OIS,Oil & Gas Equipment & Services,0.9662,0.27627,624
INVX/OII,Oil & Gas Equipment & Services,0.8829,0.29004,624
FTI/NPKI,Oil & Gas Equipment & Services,0.8314,0.29034,624
FTI/HLX,Oil & Gas Equipment & Services,0.8873,0.3003,624
CLB/OIS,Oil & Gas Equipment & Services,0.9394,0.30116,624
INVX/OIS,Oil & Gas Equipment & Services,0.9534,0.31571,624
INVX/TDW,Oil & Gas Equipment & Services,0.8219,0.32075,624
HAL/RES,Oil & Gas Equipment & Services,0.8391,0.32226,624
CLB/INVX,Oil & Gas Equipment & Services,0.8983,0.3312,624
OII/TDW,Oil & Gas Equipment & Services,0.8086,0.34468,624
DWSN/NOV,Oil & Gas Equipment & Services,0.8291,0.3502,624
NOV/TDW,Oil & Gas Equipment & Services,0.8564,0.35144,624
DWSN/GEOS,Oil & Gas Equipment & Services,0.9193,0.36471,624
FTI/OIS,Oil & Gas Equipment & Services,0.8155,0.3696,624
HLX/OIS,Oil & Gas Equipment & Services,0.8344,0.37229,624
HLX/OII,Oil & Gas Equipment & Services,0.9198,0.37456,624
GEOS/HLX,Oil & Gas Equipment & Services,0.8514,0.38452,624
CLB/NOV,Oil & Gas Equipment & Services,0.8643,0.39181,624
OIS/TDW,Oil & Gas Equipment & Services,0.8024,0.40372,624
CLB/OII,Oil & Gas Equipment & Services,0.8122,0.40699,624
FTK/OIS,Oil & Gas Equipment & Services,0.8669,0.41151,624
HLX/INVX,Oil & Gas Equipment & Services,0.818,0.41201,624
CLB/FTK,Oil & Gas Equipment & Services,0.847,0.41372,624
HAL/SLB,Oil & Gas Equipment & Services,0.8962,0.42169,624
DWSN/TDW,Oil & Gas Equipment & Services,0.878,0.42229,624
FTK/INVX,Oil & Gas Equipment & Services,0.8659,0.43094,624
FTK/OII,Oil & Gas Equipment & Services,0.8782,0.43101,624
GEOS/INVX,Oil & Gas Equipment & Services,0.8116,0.43601,624
NOV/OII,Oil & Gas Equipment & Services,0.8862,0.44288,624
DWSN/HLX,Oil & Gas Equipment & Services,0.814,0.44516,624
HLX/TDW,Oil & Gas Equipment & Services,0.866,0.45518,624
FTI/OII,Oil & Gas Equipment & Services,0.8828,0.45779,624
HLX/NOV,Oil & Gas Equipment & Services,0.8718,0.46716,624
FTI/NOV,Oil & Gas Equipment & Services,0.8439,0.4703,624
INVX/NOV,Oil & Gas Equipment & Services,0.9115,0.48677,624
GEOS/TDW,Oil & Gas Equipment & Services,0.8535,0.48817,624
OII/OIS,Oil & Gas Equipment & Services,0.896,0.49448,624
FTK/NOV,Oil & Gas Equipment & Services,0.8075,0.50801,624
GEOS/NOV,Oil & Gas Equipment & Services,0.802,0.51854,624
TDW/TTI,Oil & Gas Equipment & Services,0.8928,0.52245,624
GEOS/OII,Oil & Gas Equipment & Services,0.8327,0.52489,624
