Ticker Pair,Industry,Correlation,Avg P-Value,Tests Run
CQP/LNG,Oil & Gas Midstream,0.9592,0.23591,624
CQP/GLP,Oil & Gas Midstream,0.874,0.24044,624
ENB/LNG,Oil & Gas Midstream,0.9007,0.24212,624
CQP/EPD,Oil & Gas Midstream,0.9139,0.27828,624
ENB/GLP,Oil & Gas Midstream,0.8148,0.28252,624
EPD/GLP,Oil & Gas Midstream,0.9055,0.30232,624
GEL/PAA,Oil & Gas Midstream,0.8741,0.30293,624
ENB/WMB,Oil & Gas Midstream,0.8766,0.31129,624
CQP/WMB,Oil & Gas Midstream,0.8064,0.31244,624
DHT/FRO,Oil & Gas Midstream,0.906,0.3218,624
ENB/EPD,Oil & Gas Midstream,0.9179,0.32883,624
ENB/TRP,Oil & Gas Midstream,0.884,0.33301,624
GLP/LNG,Oil & Gas Midstream,0.9306,0.34911,624
LNG/WMB,Oil & Gas Midstream,0.9082,0.36112,624
CQP/OKE,Oil & Gas Midstream,0.93,0.36596,624
EPD/OKE,Oil & Gas Midstream,0.9572,0.36905,624
EPD/LNG,Oil & Gas Midstream,0.949,0.37826,624
CQP/ENB,Oil & Gas Midstream,0.8664,0.38065,624
ET/WMB,Oil & Gas Midstream,0.9086,0.40843,624
ENB/OKE,Oil & Gas Midstream,0.8685,0.42826,624
ET/LNG,Oil & Gas Midstream,0.8022,0.43487,624
GLP/WMB,Oil & Gas Midstream,0.9185,0.43518,624
CQP/SBR,Oil & Gas Midstream,0.8993,0.43629,624
EPD/SBR,Oil & Gas Midstream,0.8419,0.44991,624
EPD/WMB,Oil & Gas Midstream,0.9226,0.45227,624
CQP/TRP,Oil & Gas Midstream,0.8711,0.46245,624
MMLP/TK,Oil & Gas Midstream,0.8385,0.46286,624
EPD/ET,Oil & Gas Midstream,0.8742,0.46487,624
BPT/MMLP,Oil & Gas Midstream,0.8189,0.46997,624
NAT/TEN,Oil & Gas Midstream,0.8304,0.47574,624
GLP/OKE,Oil & Gas Midstream,0.8973,0.49072,624
OKE/SBR,Oil & Gas Midstream,0.8611,0.49833,624
PBT/SBR,Oil & Gas Midstream,0.8,0.50665,624
BPT/TK,Oil & Gas Midstream,0.8041,0.52554,624
LNG/OKE,Oil & Gas Midstream,0.9301,0.55971,624
EPD/TRP,Oil & Gas Midstream,0.8213,0.58755,624
OKE/TRP,Oil & Gas Midstream,0.8601,0.6058,624
LNG/SBR,Oil & Gas Midstream,0.925,0.61862,624
OKE/WMB,Oil & Gas Midstream,0.8651,0.6537,624
GLP/SBR,Oil & Gas Midstream,0.8888,0.65593,624
LNG/TRP,Oil & Gas Midstream,0.8089,0.70963,624
