Ticker Pair,Industry,Correlation,Avg P-Value,Tests Run
NHI/WELL,REIT - Healthcare Facilities,0.8789,0.36687,624
HR/MPW,REIT - Healthcare Facilities,0.8701,0.39128,624
HR/UHT,REIT - Healthcare Facilities,0.8625,0.40185,624
NHI/SBRA,REIT - Healthcare Facilities,0.8545,0.40383,624
SBRA/VTR,REIT - Healthcare Facilities,0.8114,0.41733,624
LTC/NHI,REIT - Healthcare Facilities,0.9453,0.41925,624
NHI/OHI,REIT - Healthcare Facilities,0.9388,0.44497,624
OHI/SBRA,REIT - Healthcare Facilities,0.8289,0.48237,624
OHI/WELL,REIT - Healthcare Facilities,0.9318,0.51348,624
LTC/OHI,REIT - Healthcare Facilities,0.8793,0.53887,624
LTC/SBRA,REIT - Healthcare Facilities,0.8098,0.55047,624
