Ticker Pair,Industry,Correlation,Avg P-Value,Tests Run
FR/PLD,REIT - Industrial,0.9883,0.12883,624
EGP/FR,REIT - Industrial,0.9901,0.35125,624
CUBE/EXR,REIT - Industrial,0.9898,0.35625,624
LXP/PLD,REIT - Industrial,0.9247,0.36632,624
EGP/PLD,REIT - Industrial,0.9919,0.39291,624
CUBE/FR,REIT - Industrial,0.9822,0.39948,624
CUBE/PSA,REIT - Industrial,0.9884,0.42559,624
EGP/EXR,REIT - Industrial,0.9706,0.43174,624
EXR/PSA,REIT - Industrial,0.9847,0.45102,624
FR/PSA,REIT - Industrial,0.9659,0.45553,624
CUBE/EGP,REIT - Industrial,0.9712,0.46154,624
EXR/FR,REIT - Industrial,0.9815,0.46895,624
FR/LXP,REIT - Industrial,0.9296,0.49254,624
CUBE/PLD,REIT - Industrial,0.9656,0.49677,624
EGP/PSA,REIT - Industrial,0.9511,0.52428,624
EGP/LXP,REIT - Industrial,0.9086,0.52632,624
PLD/PSA,REIT - Industrial,0.9449,0.54204,624
CUBE/LXP,REIT - Industrial,0.8991,0.54841,624
EXR/PLD,REIT - Industrial,0.9732,0.55601,624
LXP/PSA,REIT - Industrial,0.8822,0.58185,624
EXR/LXP,REIT - Industrial,0.9116,0.60933,624
