Ticker Pair,Industry,Correlation,Avg P-Value,Tests Run
DX/STWD,REIT - Mortgage,0.9389,0.31821,624
ARI/LOAN,REIT - Mortgage,0.9363,0.32162,624
ARI/BXMT,REIT - Mortgage,0.9363,0.32542,624
PMT/STWD,REIT - Mortgage,0.945,0.33577,624
DX/NLY,REIT - Mortgage,0.8573,0.35479,624
DX/PMT,REIT - Mortgage,0.9206,0.35527,624
DX/LOAN,REIT - Mortgage,0.8881,0.35528,624
ABR/BXMT,REIT - Mortgage,0.8218,0.3607,624
ABR/ARI,REIT - Mortgage,0.8563,0.37294,624
BXMT/LOAN,REIT - Mortgage,0.9124,0.38682,624
AGNC/DX,REIT - Mortgage,0.911,0.38866,624
LOAN/STWD,REIT - Mortgage,0.936,0.39447,624
BXMT/STWD,REIT - Mortgage,0.9055,0.39562,624
AGNC/NLY,REIT - Mortgage,0.938,0.39886,624
ABR/PMT,REIT - Mortgage,0.9166,0.41111,624
ABR/STWD,REIT - Mortgage,0.9601,0.41893,624
NYMT/RWT,REIT - Mortgage,0.8385,0.42267,624
ABR/LOAN,REIT - Mortgage,0.8895,0.42722,624
MFA/NYMT,REIT - Mortgage,0.8981,0.44509,624
MFA/RWT,REIT - Mortgage,0.8893,0.45033,624
AGNC/LOAN,REIT - Mortgage,0.837,0.45744,624
AGNC/STWD,REIT - Mortgage,0.8391,0.46112,624
BXMT/PMT,REIT - Mortgage,0.905,0.46397,624
MFA/SEVN,REIT - Mortgage,0.8006,0.47401,624
NLY/PMT,REIT - Mortgage,0.8108,0.48129,624
AGNC/PMT,REIT - Mortgage,0.8844,0.4862,624
ARI/PMT,REIT - Mortgage,0.9206,0.48649,624
ABR/DX,REIT - Mortgage,0.911,0.50232,624
NYMT/TWO,REIT - Mortgage,0.8061,0.50571,624
AGNC/BXMT,REIT - Mortgage,0.8805,0.50658,624
CIM/NYMT,REIT - Mortgage,0.9268,0.51443,624
AGNC/ARI,REIT - Mortgage,0.8711,0.52387,624
ARI/STWD,REIT - Mortgage,0.9309,0.52671,624
RWT/TWO,REIT - Mortgage,0.8342,0.52739,624
ARR/IVR,REIT - Mortgage,0.8024,0.53243,624
IVR/TWO,REIT - Mortgage,0.8714,0.5342,624
LOAN/PMT,REIT - Mortgage,0.8921,0.5518,624
BXMT/DX,REIT - Mortgage,0.8701,0.56598,624
CIM/MFA,REIT - Mortgage,0.85,0.58586,624
MFA/TWO,REIT - Mortgage,0.8396,0.60407,624
ARI/DX,REIT - Mortgage,0.8638,0.62467,624
BXMT/NLY,REIT - Mortgage,0.8103,0.66096,624
ARI/NLY,REIT - Mortgage,0.8378,0.66434,624
