Ticker Pair,Industry,Correlation,Avg P-Value,Tests Run
EQR/ESS,REIT - Residential,0.9891,0.18201,624
CSR/SUI,REIT - Residential,0.8186,0.21268,624
CSR/MAA,REIT - Residential,0.8599,0.25235,624
CPT/SUI,REIT - Residential,0.9631,0.26506,624
CPT/ELS,REIT - Residential,0.9593,0.27038,624
AVB/ESS,REIT - Residential,0.9848,0.28345,624
BRT/CPT,REIT - Residential,0.9286,0.29113,624
EQR/UDR,REIT - Residential,0.9871,0.2926,624
ELS/SUI,REIT - Residential,0.9846,0.29545,624
ELS/MAA,REIT - Residential,0.9649,0.29879,624
CPT/UMH,REIT - Residential,0.9756,0.30195,624
AVB/UDR,REIT - Residential,0.9795,0.32065,624
ELS/UDR,REIT - Residential,0.9639,0.32611,624
AIV/SUI,REIT - Residential,0.8658,0.35074,624
ESS/UDR,REIT - Residential,0.9822,0.35896,624
BRT/SUI,REIT - Residential,0.8997,0.36093,624
AVB/EQR,REIT - Residential,0.9875,0.36295,624
UDR/UMH,REIT - Residential,0.9457,0.363,624
ESS/SUI,REIT - Residential,0.9282,0.36326,624
BRT/MAA,REIT - Residential,0.9504,0.36361,624
CSR/UMH,REIT - Residential,0.837,0.37077,624
EQR/UMH,REIT - Residential,0.9098,0.37836,624
AVB/UMH,REIT - Residential,0.932,0.37903,624
AIV/CPT,REIT - Residential,0.9184,0.38479,624
EQR/SUI,REIT - Residential,0.9265,0.38597,624
AIV/ELS,REIT - Residential,0.9145,0.39384,624
BRT/ELS,REIT - Residential,0.9243,0.39417,624
AIV/BRT,REIT - Residential,0.9438,0.40058,624
AVB/ELS,REIT - Residential,0.9357,0.40526,624
CPT/UDR,REIT - Residential,0.9777,0.40601,624
BRT/UDR,REIT - Residential,0.8798,0.40644,624
SUI/UDR,REIT - Residential,0.9628,0.40777,624
MAA/UMH,REIT - Residential,0.977,0.40801,624
ESS/UMH,REIT - Residential,0.9149,0.40914,624
ELS/ESS,REIT - Residential,0.9366,0.40921,624
AVB/SUI,REIT - Residential,0.9133,0.41054,624
BRT/UMH,REIT - Residential,0.928,0.41116,624
CPT/MAA,REIT - Residential,0.9892,0.4136,624
SUI/UMH,REIT - Residential,0.9368,0.42023,624
AIV/UMH,REIT - Residential,0.9242,0.42204,624
MAA/SUI,REIT - Residential,0.9589,0.43041,624
BRT/ESS,REIT - Residential,0.8247,0.44443,624
AIV/MAA,REIT - Residential,0.9407,0.4508,624
ELS/UMH,REIT - Residential,0.9432,0.45714,624
AIV/ESS,REIT - Residential,0.874,0.47198,624
EQR/MAA,REIT - Residential,0.9264,0.4724,624
BRT/EQR,REIT - Residential,0.8399,0.47559,624
AVB/MAA,REIT - Residential,0.9393,0.47977,624
MAA/UDR,REIT - Residential,0.9612,0.48754,624
CPT/CSR,REIT - Residential,0.8674,0.5004,624
AIV/AVB,REIT - Residential,0.9205,0.51385,624
AVB/CPT,REIT - Residential,0.9551,0.51492,624
CPT/EQR,REIT - Residential,0.9509,0.51959,624
AIV/UDR,REIT - Residential,0.9003,0.52214,624
CPT/ESS,REIT - Residential,0.9444,0.52811,624
ELS/EQR,REIT - Residential,0.9321,0.53455,624
ESS/MAA,REIT - Residential,0.9177,0.54382,624
AIV/EQR,REIT - Residential,0.8828,0.55679,624
AVB/BRT,REIT - Residential,0.8616,0.56919,624
