Ticker Pair,Industry,Correlation,Avg P-Value,Tests Run
FRT/SPG,REIT - Retail,0.8894,0.21052,624
ALX/FRT,REIT - Retail,0.8333,0.26403,624
ALX/BFS,REIT - Retail,0.8133,0.29166,624
AKR/FRT,REIT - Retail,0.8297,0.29751,624
REG/SPG,REIT - Retail,0.8692,0.30231,624
FRT/REG,REIT - Retail,0.8965,0.35975,624
O/REG,REIT - Retail,0.8857,0.37911,624
NNN/REG,REIT - Retail,0.9275,0.38052,624
AKR/ALX,REIT - Retail,0.831,0.38654,624
BFS/FRT,REIT - Retail,0.912,0.389,624
BFS/REG,REIT - Retail,0.8369,0.39405,624
FRT/KIM,REIT - Retail,0.8342,0.4001,624
KIM/KRG,REIT - Retail,0.9486,0.40253,624
KIM/NNN,REIT - Retail,0.804,0.41085,624
KIM/REG,REIT - Retail,0.9227,0.42923,624
KIM/SPG,REIT - Retail,0.8173,0.45125,624
NNN/O,REIT - Retail,0.976,0.45384,624
AKR/SPG,REIT - Retail,0.8075,0.4609,624
KRG/REG,REIT - Retail,0.8677,0.47072,624
GTY/O,REIT - Retail,0.9123,0.47719,624
ADC/GTY,REIT - Retail,0.9623,0.52155,624
GTY/NNN,REIT - Retail,0.8877,0.52162,624
ADC/NNN,REIT - Retail,0.9365,0.52184,624
FRT/NNN,REIT - Retail,0.8284,0.52706,624
ADC/REG,REIT - Retail,0.8372,0.58391,624
ADC/O,REIT - Retail,0.9683,0.58528,624
