Ticker Pair,Industry,Correlation,Avg P-Value,Tests Run
AMT/CCI,REIT - Specialty,0.971,0.31135,624
PCH/WY,REIT - Specialty,0.9224,0.32089,624
DLR/EQIX,REIT - Specialty,0.9723,0.33316,624
PCH/SELF,REIT - Specialty,0.9204,0.37855,624
IRM/SELF,REIT - Specialty,0.8279,0.39149,624
CCI/EQIX,REIT - Specialty,0.8709,0.39393,624
CCI/DLR,REIT - Specialty,0.8562,0.39995,624
CCI/SBAC,REIT - Specialty,0.9875,0.41272,624
RYN/WY,REIT - Specialty,0.8459,0.41566,624
SELF/WY,REIT - Specialty,0.8661,0.42069,624
LAMR/SELF,REIT - Specialty,0.9468,0.44527,624
PCH/RYN,REIT - Specialty,0.8749,0.4601,624
AMT/SBAC,REIT - Specialty,0.9823,0.46791,624
PCH/SBAC,REIT - Specialty,0.8676,0.47738,624
LAMR/WY,REIT - Specialty,0.86,0.48134,624
DLR/LAMR,REIT - Specialty,0.9296,0.486,624
IRM/LAMR,REIT - Specialty,0.9004,0.48609,624
LAMR/PCH,REIT - Specialty,0.916,0.48756,624
AMT/DLR,REIT - Specialty,0.9266,0.49062,624
AMT/EQIX,REIT - Specialty,0.9418,0.50673,624
EQIX/LAMR,REIT - Specialty,0.9515,0.51566,624
LAMR/SBAC,REIT - Specialty,0.8224,0.51913,624
DLR/SBAC,REIT - Specialty,0.8693,0.53636,624
AMT/LAMR,REIT - Specialty,0.8772,0.53755,624
SBAC/WY,REIT - Specialty,0.8023,0.54119,624
EQIX/SBAC,REIT - Specialty,0.8992,0.54302,624
DLR/IRM,REIT - Specialty,0.8033,0.5618,624
DLR/SELF,REIT - Specialty,0.9022,0.57449,624
EQIX/IRM,REIT - Specialty,0.8179,0.57683,624
CCI/SELF,REIT - Specialty,0.8237,0.5789,624
EQIX/SELF,REIT - Specialty,0.9312,0.5805,624
EQIX/PCH,REIT - Specialty,0.9184,0.5979,624
CCI/PCH,REIT - Specialty,0.8474,0.60643,624
AMT/PCH,REIT - Specialty,0.8788,0.64022,624
AMT/SELF,REIT - Specialty,0.8761,0.64535,624
DLR/PCH,REIT - Specialty,0.8696,0.66328,624
EQIX/WY,REIT - Specialty,0.8318,0.66611,624
SBAC/SELF,REIT - Specialty,0.8408,0.69301,624
