Ticker Pair,Industry,Correlation,Avg P-Value,Tests Run
AER/URI,Rental & Leasing Services,0.8695,0.31837,624
AER/HEES,Rental & Leasing Services,0.8911,0.32989,624
HRI/UHAL,Rental & Leasing Services,0.8012,0.34558,624
GATX/MGRC,Rental & Leasing Services,0.9723,0.36432,624
AER/R,Rental & Leasing Services,0.8966,0.36615,624
UHAL/URI,Rental & Leasing Services,0.8635,0.36827,624
GATX/URI,Rental & Leasing Services,0.9532,0.38234,624
AER/GATX,Rental & Leasing Services,0.8969,0.38237,624
HEES/MGRC,Rental & Leasing Services,0.8904,0.39585,624
MGRC/URI,Rental & Leasing Services,0.9378,0.40031,624
GATX/HEES,Rental & Leasing Services,0.9291,0.41117,624
MGRC/R,Rental & Leasing Services,0.8239,0.42726,624
HEES/UHAL,Rental & Leasing Services,0.834,0.42818,624
AER/UHAL,Rental & Leasing Services,0.8974,0.43891,624
R/URI,Rental & Leasing Services,0.9336,0.43952,624
HEES/URI,Rental & Leasing Services,0.8968,0.44733,624
R/UHAL,Rental & Leasing Services,0.82,0.45586,624
AER/MGRC,Rental & Leasing Services,0.8455,0.45663,624
GATX/R,Rental & Leasing Services,0.8889,0.45979,624
HEES/R,Rental & Leasing Services,0.8972,0.48128,624
HRI/R,Rental & Leasing Services,0.858,0.48921,624
HEES/HRI,Rental & Leasing Services,0.8234,0.5006,624
GATX/UHAL,Rental & Leasing Services,0.9093,0.50618,624
HRI/MGRC,Rental & Leasing Services,0.8234,0.51467,624
MGRC/UHAL,Rental & Leasing Services,0.889,0.51721,624
R/WLFC,Rental & Leasing Services,0.8182,0.52255,624
URI/WLFC,Rental & Leasing Services,0.8018,0.55909,624
GATX/HRI,Rental & Leasing Services,0.8567,0.58976,624
HRI/URI,Rental & Leasing Services,0.8863,0.60458,624
