Ticker Pair,Industry,Correlation,Avg P-Value,Tests Run
BYD/MCRI,Resorts & Casinos,0.978,0.21384,624
CPHC/MCRI,Resorts & Casinos,0.8871,0.21907,624
FLL/GDEN,Resorts & Casinos,0.8072,0.28092,624
CPHC/GDEN,Resorts & Casinos,0.8663,0.33737,624
BYD/GDEN,Resorts & Casinos,0.9341,0.36212,624
MCRI/MTN,Resorts & Casinos,0.8445,0.36999,624
BYD/MTN,Resorts & Casinos,0.8193,0.3899,624
MGM/MTN,Resorts & Casinos,0.8703,0.41344,624
MCRI/MGM,Resorts & Casinos,0.8984,0.41487,624
BYD/CPHC,Resorts & Casinos,0.8832,0.43184,624
GDEN/MGM,Resorts & Casinos,0.9159,0.44948,624
GDEN/MCRI,Resorts & Casinos,0.9119,0.46417,624
GDEN/MTN,Resorts & Casinos,0.8461,0.50395,624
BYD/MGM,Resorts & Casinos,0.9068,0.51478,624
MLCO/WYNN,Resorts & Casinos,0.8588,0.51774,624
